,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurtosis,missing_percent,unique_values,zeros_percent
AirTemperature,1445.0,12.815621755597075,7.379626070911501,-0.8145777329749104,2.9036828737300437,2.9036828737300437,2.9036828737300437,14.649217311233889,18.269372714808043,23.950231236657068,25.165474656938358,26.728635620915032,-0.1571038480753862,-1.3249228573496308,0.0,1049,0.0
HEIGHT_OF_SNOW,1445.0,10.21362590127416,27.20261988128614,-4.677159018483111,-3.9588748144537984,-2.2282709183427407,-0.3782261342155009,0.4045641975308642,8.169008156028365,65.3121661573145,135.29303958526393,308.04356060606057,4.608672128141065,28.424973196087826,0.0,1445,0.0
WindDirection,1445.0,189.75884692777956,47.1107610052791,29.145992714025503,72.55814484126984,115.56041666666665,159.42610153256706,185.1558176100629,221.79422043010752,271.52628170289853,300.537098829741,347.64503683241253,0.08367582307598209,0.09791232444320208,0.0,1445,0.0
TempC,1445.0,11.36487575693704,5.940113843785027,-25.206920138888886,-4.501314692982456,0.8354212962962962,7.933303179824561,11.923916333333334,15.661144607843138,19.409435272536687,23.284088607407377,28.415714285714284,-0.7383015540824115,1.6660115358971481,0.0,1445,0.0
stn_pres,1445.0,756.3321106310116,857.8958902114107,-6999.0,-4570.090185185186,854.3846153846154,854.3846153846154,854.3846153846154,892.5,972.871052631579,1001.7903623188405,1014.7583333333332,-7.658805925346059,60.39039717851653,0.0,494,0.0
ONE_DAY_PRECIPITATION,1445.0,1.603220115583353,3.741013318908726,0.0,0.0,0.0,0.0,0.0,1.2571428571428571,8.325128205128204,18.82399999999998,39.75,4.203623204483009,24.469900738893795,0.0,475,53.010380622837374
tendency_amount,1445.0,-0.0021050945830832944,0.04413542958054899,-0.1829388633328386,-0.10349599483204117,-0.07249663967719515,-0.0307930513595166,-0.0046633333333333,0.023101545253863,0.07122696476964763,0.12171922833649576,0.1850789880409445,0.31394436358695604,1.2233082971706981,0.0,1445,0.0
air_temperature_yesterday_low,1445.0,11.586873446866685,5.307714160466392,-14.854077253218884,-4.493513121333745,1.2235938674843356,9.268678629690047,12.367272727272727,14.88015478164732,18.474775280898875,20.70095405350214,26.348159509202453,-1.020259326907659,1.799991463149218,0.0,1444,0.0
SNOW_ON_THE_GROUND,1445.0,1.784594228871939,13.123346978690655,-4.588695652173913,-2.3834414414414415,-0.7807706949058695,0.0,0.0,0.0,1.4844945205479394,62.304941176470244,205.0308641975309,9.76538054104299,110.03748606019234,0.0,224,84.49826989619376
RELATIVE_HUMIDITY1,1445.0,57.89557020120478,16.260029532879233,3.875758928571429,15.969700000000001,31.135678053830233,47.071666666666665,57.771369047619054,69.29669021454735,84.68316666666666,91.78067759197324,96.1,-0.15592574842100174,-0.1586972880272226,0.0,1445,0.0
dwpt_temp,1445.0,-30.215129420780777,380.94448929105323,-6999.0,-16.252573099415205,-8.23076923076923,-8.23076923076923,-8.23076923076923,4.166666666666667,12.651798245614032,14.909333333333333,34.18333333333334,-15.9102682529967,266.5747432792107,0.0,482,0.0
snwfl_amt_pst1hr,1445.0,-292.04146239152436,1236.3677560339565,-7356.217261904762,-6999.0,-2088.035,0.0,0.0,0.0,0.036962962962962906,0.15008249721293168,0.4651515151515151,-4.5037128046643735,19.53759343502837,0.0,215,82.69896193771626
BAR_PRESS,1445.0,1045.636873100574,83.24994835997579,855.2829779411765,955.0209264880954,980.4981725057581,1012.191479400749,1015.0526315789474,1020.3067194371152,1262.5173205087506,1325.1219602323504,1345.5310846560849,2.064281033062225,3.2693868099938825,0.0,913,0.0
avg_wnd_dir_10m_pst10mts,1445.0,156.8327858575927,48.29428499670673,-1218.6999999999998,105.52186571598335,142.18461538461537,143.69230769230768,143.69230769230768,159.34722222222223,229.24975845410623,271.17888888888876,325.2083333333333,-15.440450235633868,456.12593442733026,0.0,502,0.0
Rain,1445.0,0.03867209904272263,0.054909288134320375,0.0,0.0,0.0,0.0,0.0,0.1207521770682148,0.1207521770682148,0.1207521770682148,0.3028243887895051,0.936416750438841,-0.6320041367003162,0.0,324,50.17301038062284
air_temp,1445.0,1.4429927375181373,11.627827184266378,-10.771491228070175,-6.584615384615384,-6.584615384615384,-6.584615384615384,-6.584615384615384,13.915458937198068,22.784166666666668,26.276464912280694,33.05833333333333,0.9190747816643265,-0.8777593779476729,0.0,499,0.0
tasmax,1445.0,8.705849826840835,13.60944733658841,-8.7,-8.7,-8.7,-8.7,14.085365853658535,19.887833827893175,26.29435088039412,29.50203888596952,31.554545454545455,-0.2840026139506252,-1.5469734042493173,0.0,941,0.0
WIND_DIRECTION_STD_DEVIATION1,1445.0,36.561492322114496,9.54662329070429,0.0,11.931410833333333,20.85418055555556,30.714570833333337,36.735392857142855,43.39604166666666,51.54713858363859,56.398033333333316,67.70375,-0.2712919433466315,0.5055143010812704,0.0,1445,0.06920415224913494
WSPD_SCLR,1445.0,2.6837421586939403,1.177781714837111,0.5333333333333333,0.8595496869593087,1.1414990902116402,1.6660260372282607,2.489083152777778,3.69339,3.69339,5.860109729166665,11.707608491379313,1.0459228100011453,4.840626637980866,0.0,942,0.0
cum_pcpn_amt,1445.0,579.2678126878742,151.06047712621714,1.2857142857142856,203.6739906103286,343.77101449275364,582.8571428571429,582.8571428571429,582.8571428571429,853.9489583333332,1186.101666666666,1437.861111111111,1.4218610443228985,7.180285242524968,0.0,504,0.0
DewPtC,1445.0,5.3806039288965755,5.012767946691531,-27.52673611111111,-9.525498964803312,-4.88626526954868,3.216561046511628,6.0062500000000005,8.68640350877193,12.01441590086327,14.144526299533787,16.580065,-1.1601596826109035,2.7040857349010814,0.0,1444,0.0
HUMIDITY,1445.0,58.42649070111346,13.098513587395681,20.445833333333333,32.293378431372545,38.992438596491226,48.538738738738736,57.16103778467909,67.78333333333333,81.23153168246704,88.31646069287142,97.28333333333336,0.254345012781879,-0.3991338277645471,0.0,1414,0.0
DEW_POINT,1445.0,5.391267905744841,7.020304131115102,-47.125,-23.483174603174604,-6.445075757575757,2.701863354037267,6.668859649122807,9.854219948849105,13.125517598343684,15.462976190476189,17.427083333333332,-2.566307458452792,12.510444002920714,0.0,1340,0.0
wind_direction,1445.0,184.94730100328454,41.433995711496436,4.625,89.41565217391305,118.39166666666667,156.875,184.1304347826087,211.5972222222222,251.77608695652174,287.2283333333333,321.5,0.04867096096780333,0.373855750031721,0.0,1385,0.0
temperature,1445.0,15.638778344441242,6.051638165705199,-10.726892109500806,-0.7756521739130435,3.991159420289855,12.133333333333333,16.566666666666666,19.835416666666667,23.9775,26.92273913043476,32.958333333333336,-0.6874605933592529,0.7229282569853623,0.0,1393,0.0
dew_point,1445.0,5.7955077128224985,4.267572862701938,-15.631491416309013,-7.73630461645262,-2.9675157466473507,4.208049535603715,6.335603543743078,8.396066666666666,11.558391658146443,12.953735328638498,16.084782608695654,-1.2166154553905735,2.4453057606807143,0.0,1445,0.0
tasmin,1445.0,-2.8385218180323237,12.651036381287557,-19.4,-19.4,-19.4,-19.4,3.5,7.70759493670886,11.847463556851311,14.276258999516914,15.86376811594203,-0.4102561435295488,-1.598355466261239,0.0,936,0.0
ONE_DAY_SNOW,1445.0,0.01654147340338648,0.23585801393761222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,17.68742775686824,349.1341571453977,0.0,14,99.10034602076124
RH,1445.0,69.41272733886127,13.41502829245393,31.161271186440676,41.18553437118437,47.96040252976191,59.81348039215686,68.70240112994351,79.48072916666666,91.50977497194162,97.5238346978557,99.97504873294346,-0.013023183955035633,-0.5779837079782397,0.0,1445,0.0
avg_air_temp_pst1hr,1445.0,15.335031077044054,4.637124909868154,-7.805618333333333,2.890221073380355,8.517213616666666,12.6327,13.83957498611111,18.936924129353237,22.93004722222222,24.772880666666666,26.480833333333333,-0.23047256552255668,0.8190934963072016,0.0,942,0.0
WindSpeed,1445.0,9.576135771836201,32.96529949093403,3.17025974524248,4.625763660432027,5.586574914527225,6.959960087082729,6.959960087082729,8.452749693627451,10.697333717959857,13.268048383204619,1011.7823890186916,23.1614677252709,631.929235920568,0.0,1049,0.0
PRECIP_TOTAL,1445.0,0.005457857741190517,0.025582424347155318,0.0,0.0,0.0,0.0,0.0,0.0,0.026979299267891717,0.1378253739974045,0.3801305970149254,7.0555315699860275,63.481820362976244,0.0,153,89.34256055363322
max_air_temp_snc_last_reset,1445.0,5.524778152295293,12.611358932235078,-142.6878787878788,-2.5384615384615383,-2.5384615384615383,-2.5384615384615383,-2.5384615384615383,17.16111111111111,28.012934782608696,32.780392156862725,39.44583333333333,-0.27037989561093134,12.145629406879454,0.0,502,0.0
MEASURED_WIND_SPEED1,1445.0,4.9091585248275,2.9348348394127317,0.0,0.7050914347826087,1.5913407196969698,2.908083333333334,4.207377645502646,6.265534090909091,10.698658333333332,14.718001999999993,24.72390476190476,1.5824217976612673,3.9670936967452617,0.0,1443,0.13840830449826988
Snow_WE,1445.0,331.9662756786341,201.3353544374398,-58.74206758304696,-14.830893404529503,-1.1145058091965305,418.0136363636363,418.0136363636363,418.0136363636363,418.0136363636363,869.7678103981699,1948.5095132743363,0.284600491898608,5.9538058483754215,0.0,393,0.0
MAX_TEMP,1445.0,22.99541559792172,7.368335763561238,-3.2727272727272725,2.804,10.22,18.03333333333333,23.5,28.6,33.37727272727272,37.30124675324673,43.803030303030305,-0.44462577803376824,0.12508668870691242,0.0,1025,0.0
pcp,1445.0,0.9773666794493632,3.181359324525931,0.0,0.0,0.0,0.0,0.0,0.532258064516129,5.167538461538459,13.319487119437937,76.47721518987342,11.295258580820958,226.8404302879967,0.0,585,59.44636678200692
max_wnd_spd_10m_pst1hr,1445.0,2.872940599378731,76.75752426129618,-1740.803125,3.0555555555555554,3.0555555555555554,3.0555555555555554,6.992307692307692,6.992307692307692,10.243750888036372,18.31359661835748,29.7,-21.9476984861356,482.3681141993555,0.0,110,0.0
Elevation (m),1445.0,790.6522182237602,493.3097812816842,1.0,6.1,69.67999999999999,435.0,715.0,1085.5,1685.0,2262.0,2438.0,0.7848323412787472,0.5816608661096105,0.0,399,0.0
snw_dpth_wtr_equiv,1445.0,141.05610209163677,318.76696235686177,-520.703557312253,-277.2217948717949,-8.127257799671593,1.4981213097155126,5.527777777777778,71.39215686274511,961.1758547008541,1298.7541111111107,1671.662037037037,2.2122548572762195,4.494560153532652,0.0,1423,0.4844290657439446
mslp,1445.0,1009.0184976889124,10.880515462408553,837.5882352941177,970.3451757703081,1006.7173649538868,1007.8,1007.8,1010.6535129174542,1019.9199417249417,1026.6445679012345,1042.3772727272726,-8.269217459360124,101.10057669783127,0.0,504,0.0
wind_speed,1445.0,6.968730756279902,3.192577700900041,0.017391304347826,1.72275,3.1689855072463766,4.9624999999999995,6.422826086956522,8.269166666666665,12.350208333333331,18.896072463768103,34.17916666666667,2.0630091240095356,9.162814515849323,0.0,1345,0.0
air_temperature,1445.0,17.231731667172873,5.993313375202428,-11.556598712446352,-0.4378076195878239,6.155988203564729,14.04148805878751,17.814912280701755,21.44126506024097,25.604787496538044,28.602905406862348,32.18414909638554,-0.7575353091146949,1.0872627882944306,0.0,1445,0.0
rnfl_amt_pst1hr,1445.0,0.022309022091954508,0.1186765870352354,0.0,0.0,0.0,0.0,0.0,0.0,0.1224637681159419,0.5274666666666659,2.43,10.710168889395877,158.36638513145311,0.0,146,87.26643598615918
air_temperature_yesterday_high,1445.0,24.589546681050543,6.606483629369242,-8.806437768240343,3.8120924613952782,11.955875238701465,21.292405063291135,25.57037037037037,29.1,33.274174553102,37.59931081380736,41.651807228915665,-0.9553352873529679,1.5966815996302302,0.0,1443,0.0
SnowWaterEquivalent,1445.0,0.039710990652870384,4.154807183335163,-1.3,-1.3,-1.3,-1.3,0.27,0.27,1.0078140566884655,4.556405217391302,117.14149831649831,24.1063385278003,632.7545865568648,0.0,190,0.0
total_precipitation,1445.0,0.8150363637328062,1.8586394783304256,0.0,0.0,0.0,0.0,0.0,0.7206557377049182,4.577238861294386,9.441253655625182,18.77324840764331,3.8204709396408663,19.145787661316824,0.0,670,53.148788927335644
air_temp_2,1445.0,2.154946430369992,8.293140854282662,-39.61422413793103,-4.109333333333333,-3.0666666666666664,-3.0666666666666664,-3.0666666666666664,8.696768707482994,18.14771284271284,21.589286666666652,28.291571969696967,1.0093222464832936,0.10048734537485027,0.0,505,0.0
avg_rel_hum_pst1hr,1445.0,63.843569331706064,12.965515373685163,20.401666666666667,34.44625144927536,40.38139425989254,53.28356666666667,68.13162878787878,74.2581,77.99043609848484,85.69284999999999,97.61786979166668,-0.5673744626735358,-0.6007990680094726,0.0,942,0.0
SolarRadiationWm,1445.0,209.50233065186598,82.20164188327684,8.594565217391304,29.078427442979702,70.62797330938426,149.83030303030304,212.44748427672957,269.68302380952383,339.1341943332839,371.95082738015606,505.5913377192983,-0.11398834439641663,-0.5053024626711928,0.0,1445,0.0
SolarRadiation,1445.0,59.04893018426273,56.35463963374615,2.1818181818181817,2.1818181818181817,2.1818181818181817,2.1818181818181817,64.21428571428571,64.21428571428571,206.52513152326537,276.18999604235256,314.4509075907591,2.175881683354823,6.041683160560836,0.0,113,0.0
pcpn_amt_pst24hrs,1445.0,1.0352950143098016,15.835792945590352,0.0,0.0,0.0,0.0,0.0,0.1006191950464395,3.284119565217387,11.960184313725478,594.7818181818182,36.596685088123515,1371.4258874175912,0.0,413,71.00346020761246
RelativeHumidity,1445.0,73.28705196140642,19.3094411966082,28.872337553985084,36.83181944220399,43.142079878372215,58.18998643761302,70.8654243119266,97.95192307692308,97.95192307692308,97.95192307692308,99.350124235474,-0.05125175489412501,-1.2186347053005948,0.0,1049,0.0
relative_humidity,1445.0,58.39659507599507,16.90176658148347,0.0,22.208333333333332,32.33623188405797,46.86904761904761,58.130434782608695,70.04166666666667,86.19999999999999,94.21694444444444,99.29166666666666,-0.18690451697147084,0.2003192505872078,0.0,1291,0.8304498269896194
SnowDepth,1445.0,0.010671927642935498,0.07957262527527861,-0.0008912037037036,0.0,0.0,0.0001556198102016,0.0002307692307692,0.001129581901489,0.01990502163742678,0.25432444927995335,2.036293285616906,15.674317622737693,326.12724850813873,0.0,939,6.43598615916955
MIN_TEMP,1445.0,9.235620455766552,5.20325475970936,-12.45,-5.886666666666667,-0.7399999999999999,6.359999999999999,9.9,12.72,16.71931451612903,19.0,26.5,-0.7143641481682543,1.0058743925346478,0.0,941,0.13840830449826988
CURRENT_AIR_TEMPERATURE1,1445.0,15.702358579077682,5.906403057773759,-14.6964375,-0.6431989583333334,4.397810907704043,12.377502450980392,16.447916666666668,19.80625,23.83770454545454,26.748507777777778,33.06375,-0.7446629773222495,0.9060870859776613,0.0,1444,0.0
WindSpeedms,1445.0,2.0899443773181656,1.7014618635375618,0.0,0.041546296296296206,0.18838519813519802,0.7636979166666666,1.6879166666666665,2.9393380614657207,5.286951209992194,7.637890514905148,11.407752403846152,1.3290737160733197,2.4044557290928816,0.0,1442,0.13840830449826988
AirTemp,1445.0,-63.335295780437924,1983.7693614361413,-66659.9375,1.2815392156862746,4.3113636363636365,4.3113636363636365,4.3113636363636365,5.385998062015504,20.333784672118004,24.201933333333322,29.155873538011697,-30.117264374021776,949.313309841845,0.0,393,0.0
avg_wnd_spd_10m_pst10mts,1445.0,2.973848838337354,36.92202393726374,-1396.0383333333334,2.516923076923077,2.5384615384615383,2.5384615384615383,2.5384615384615383,4.846180555555556,9.126821428571425,13.174599999999998,33.05714285714286,-37.72464668100201,1430.4403950074218,0.0,500,0.0
wind_gust_speed,1445.0,32.99322474972117,3.9858555979133983,27.0,27.436094483161796,28.640253660835754,30.24223602484472,32.11970025635969,34.69347079037801,41.105769230769226,47.82727613849565,52.38956521739131,1.609335980583746,3.401877281286027,0.0,1355,0.0
MEASURED_WIND_DIRECTION1,1445.0,186.49230204041785,46.37346026643432,4.458916666666666,75.31452071078431,110.2161845238095,156.21675000000002,187.15,215.41566666666665,260.5547072072072,300.7269487179486,325.1458333333333,-0.06848287306426244,0.3578756379966457,0.0,1445,0.0
rel_hum,1445.0,45.659318718176735,428.39108558244845,-6999.0,0.1283333333333332,40.19619883040935,68.35317460317461,88.3076923076923,88.3076923076923,88.3076923076923,88.3076923076923,97.5,-14.659911701131183,224.11503980569296,0.0,482,0.27681660899653976
FIRE_SIZE_HA,1445.0,75.92383598615915,1171.0319863611483,0.0,0.0,0.0,0.009,0.018,0.3,35.627999999999915,938.4879999999924,33068.0,23.989138406646745,617.1991732951032,0.0,252,14.740484429065745
Rainmm,1445.0,0.08091031901866808,0.17154240007171612,0.0,0.0,0.0,0.0,0.0054597701149425,0.0791666666666666,0.4146224146224143,0.792413568084088,1.512962962962963,3.578565176385404,16.117770617245608,0.0,763,44.844290657439444
ONE_DAY_RAIN,1445.0,1.3058659692576398,3.3158162756242016,0.0,0.0,0.0,0.0,0.0434782608695652,0.8,7.049090909090909,16.18044444444444,39.75,4.794402457018176,32.54897072489273,0.0,416,49.75778546712803
