Date,Longitude,Latitude,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,ATMOSPHERIC_PRESSURE,AirTemp,AirTemperature,BAR_PRESS,CURRENT_AIR_TEMPERATURE1,CURRENT_AIR_TEMPERATURE2,DEW_POINT,DewPtC,Elevation (m),GustSpeedms,HEIGHT_OF_SNOW,HUMIDITY,MAXIMUM_AIR_TEMPERATURE,MAXIMUM_MEASURED_WIND_SPEED1,MAX_TEMP,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,MINIMUM_AIR_TEMPERATURE,MIN_TEMP,ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,PRECIPITATION_NEW,PRECIP_DETECTOR_RATIO,PRECIP_TOTAL,Precipitation,Pressurembar,RELATIVE_HUMIDITY1,RH,Rain,Rainmm,RelativeHumidity,SNOW_ON_THE_GROUND,STANDARD_SNOW,SWE,SnowDepth,SnowWaterEquivalent,Snow_WE,SolarRadiation,SolarRadiationWm,TEMP_MEAN,TempC,WDIR_VECT,WIND_DIRECTION_STD_DEVIATION1,WSPD_SCLR,Wetness,WindDirection,WindSpeed,WindSpeedms,air_temp,air_temp_1,air_temp_2,air_temperature,air_temperature_yesterday_high,air_temperature_yesterday_low,avg_air_temp_pst1hr,avg_rel_hum_pst1hr,avg_wnd_dir_10m_pst10mts,avg_wnd_spd_10m_pst10mts,cum_pcpn_amt,dew_point,dwpt_temp,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,mean_sea_level,min_air_temp_snc_last_reset,mslp,pcp,pcpn_amt_pst1hr,pcpn_amt_pst24hrs,precipitation,rel_hum,relative_humidity,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,snow_amount,snw_dpth,snw_dpth_wtr_equiv,snwfl_amt_pst1hr,stn_pres,tasmax,tasmin,temperature,tendency_amount,total_precipitation,wind_direction,wind_gust_speed,wind_speed,FIRE_SIZE_HA
2017-05-14,-117.7,49.3,,,,,,,,,,,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1036247083333333,,,,,,,,,,,8.732583333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-05-15,-130.0,57.9,,,,,,,,,,,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,61.416666666666664,,,,,,,,,,5.941666666666666,,,130.41666666666666,,4.75,0.009
2017-05-16,-115.7,49.9,,,,,,,,,,,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1833333333333333,,85.33333333333333,,,,,,,,,,6.595833333333334,,,171.5,,7.616666666666667,0.009
2017-05-19,-116.1,50.5,,,,,,,,,,,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,52.333333333333336,,,,,,,,,,12.625,,,196.41666666666663,,6.183333333333334,0.3
2017-05-19,-115.6,49.8,,,,,,,,,,,929.6,,,,,,20.0,,,,4.5,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-05-22,-119.4,51.3,,,,,,,,,,,884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,37.458333333333336,,,,,,,,,,18.533333333333335,,,187.375,,6.304166666666667,0.009
2017-05-22,-117.2,50.0,,,899.6428571428571,,,,11.9625,,2.9285714285714284,,1080.0,,,,,,,301.81538461538463,2.5053076923076927,,,,,,,,,,,58.074285714285715,,,,,,,,,,,,,,,,18.282153846153847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2017-05-22,-116.1,50.5,,,,,,,,,,,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,34.291666666666664,,,,,,,,,,18.375,,,187.625,,7.170833333333333,0.0
2017-05-23,-119.4,50.0,,,,,,,,,,,478.5,,,,,,31.0,,,,14.25,0.5,0.5,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-05-23,-119.3,52.1,,,,,,,,,,,688.9,,,,,,26.0,,,,4.5,4.4,4.4,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1916666666666666,,56.416666666666664,,,,,,,,,,15.0625,,,197.5,,9.158333333333331,0.0
