Feature,Importance,Std
Longitude,0.0,0.0
rnfl_amt_pst1hr,0.0,0.0
cum_pcpn_amt,0.0,0.0
max_air_temp_snc_last_reset,0.0,0.0
min_air_temp_snc_last_reset,0.0,0.0
mslp,0.0,0.0
pcpn_amt_pst1hr,0.0,0.0
rel_hum,0.0,0.0
relative_humidity,0.0,0.0
rnfl_amt_pst24hrs,0.0,0.0
Latitude,0.0,0.0
snw_dpth,0.0,0.0
snwfl_amt_pst1hr,0.0,0.0
stn_pres,0.0,0.0
tasmax,0.0,0.0
tasmin,0.0,0.0
Year,0.0,0.0
Month,0.0,0.0
avg_wnd_dir_10m_pst10mts,0.0,0.0
avg_rel_hum_pst1hr,0.0,0.0
avg_air_temp_pst1hr,0.0,0.0
air_temp_2,0.0,0.0
AirTemperature,0.0,0.0
BAR_PRESS,0.0,0.0
HUMIDITY,0.0,0.0
MAX_TEMP,0.0,0.0
PRECIP_TOTAL,0.0,0.0
RH,0.0,0.0
Rain,0.0,0.0
RelativeHumidity,0.0,0.0
Snow_WE,0.0,0.0
SolarRadiationWm,0.0,0.0
TEMP_MEAN,0.0,0.0
TempC,0.0,0.0
WDIR_VECT,0.0,0.0
WSPD_SCLR,0.0,0.0
Wetness,0.0,0.0
air_temp,0.0,0.0
DayOfYear,0.0,0.0
avg_wnd_spd_10m_pst10mts,-0.001384083044982698,0.002768166089965396
