Year,mean,median,sum,count
2017,105.68746081504703,0.009,33714.3,319
2018,39.95690988372093,0.018,13745.177,344
2019,1.7434424460431655,0.018,484.677,278
2020,5.142805555555555,0.056999999999999953,555.423,108
2021,281.18479620853077,0.2,59329.992,211
2022,10.164183783783784,0.01,1880.374,185
