Longitude,Latitude,count
-119.7,49.3,2
-132.1,53.3,2
-120.6,52.0,2
-122.2,52.1,2
-120.6,50.4,2
-122.5,55.5,2
-122.3,52.5,2
-120.8,55.8,2
-119.7,49.1,2
-120.8,50.0,2
-123.3,49.4,2
-123.2,49.5,2
-123.3,53.9,2
-119.5,49.2,2
-123.3,50.1,2
-121.6,49.7,2
-121.7,52.5,2
-121.6,50.4,2
-121.0,52.4,1
-120.9,49.7,1
-131.2,57.9,1
-125.8,49.1,1
-115.6,49.8,1
-126.0,49.6,1
-126.2,52.5,1
-126.3,54.2,1
-117.1,50.4,1
-114.9,49.8,1
-122.1,49.1,1
-116.8,50.6,1
-114.9,49.9,1
-125.5,49.0,1
-125.5,49.1,1
-114.9,50.0,1
-120.9,53.6,1
-125.4,55.3,1
-125.3,49.2,1
-117.4,49.8,1
-125.3,49.6,1
-122.3,51.4,1
-125.2,49.6,1
-122.1,52.2,1
-130.3,57.0,1
-122.0,49.9,1
-126.5,54.0,1
-121.7,52.2,1
-129.1,59.4,1
-121.8,56.7,1
-121.5,53.2,1
-121.8,53.3,1
-128.3,54.7,1
-127.7,50.5,1
-121.8,49.2,1
-127.4,54.1,1
-115.8,49.2,1
-121.4,50.4,1
-121.9,56.0,1
-129.8,56.1,1
-130.0,58.4,1
-116.0,49.6,1
-122.0,56.0,1
-121.4,52.3,1
-120.8,49.5,1
-126.9,54.8,1
-126.7,54.4,1
-130.0,57.9,1
-121.4,58.8,1
-115.2,49.0,1
-121.3,56.1,1
-116.4,51.0,1
-123.4,48.6,1
-120.7,56.1,1
-125.2,49.8,1
-123.1,54.7,1
-122.9,52.0,1
-120.2,51.4,1
-120.2,52.3,1
-118.6,50.0,1
-122.9,50.5,1
-122.9,49.3,1
-123.0,55.1,1
-119.9,49.4,1
-123.8,49.1,1
-119.9,51.3,1
-121.7,54.2,1
-119.0,50.0,1
-119.1,51.5,1
-119.8,53.1,1
-120.2,49.1,1
-123.1,49.2,1
-119.2,52.5,1
-119.2,52.4,1
-123.7,48.9,1
-119.2,50.0,1
-119.2,49.3,1
-123.6,49.4,1
-123.6,53.5,1
-119.3,52.0,1
-119.3,50.3,1
-123.5,48.4,1
-119.3,49.0,1
-119.4,52.0,1
-124.1,50.6,1
-124.2,55.6,1
-122.3,49.2,1
-120.6,56.1,1
-120.8,50.6,1
-117.7,51.2,1
-120.8,59.4,1
-124.9,49.4,1
-122.4,49.6,1
-123.4,50.6,1
-122.4,49.1,1
-120.6,50.3,1
-124.7,48.9,1
-124.6,49.2,1
-122.5,50.4,1
-118.0,49.4,1
-124.6,50.1,1
-122.5,49.3,1
-118.5,49.1,1
-118.1,50.8,1
-118.1,49.2,1
-118.2,52.2,1
-124.5,54.1,1
-122.6,58.8,1
-122.6,54.4,1
-122.7,55.5,1
-122.7,54.5,1
-120.4,50.6,1
-120.4,51.2,1
-120.4,51.7,1
-120.4,56.6,1
-118.5,51.5,1
-121.7,55.4,1
