Date,Longitude,Latitude,Year,Month,Season,Elevation (m),FIRE_SIZE_HA
2017-07-05,-123.8,48.5,2017,7,Summer,512.0699999999999,0.1
2017-07-05,-123.6,48.6,2017,7,Summer,138.0,0.009
2017-07-05,-123.1,50.1,2017,7,Summer,688.0,0.0
2017-07-06,-125.2,50.1,2017,7,Summer,17.0,0.0
2017-07-06,-121.4,51.7,2017,7,Summer,1028.45,5711.0
2017-07-06,-121.2,51.5,2017,7,Summer,1158.0,0.0
2017-07-06,-120.1,51.1,2017,7,Summer,390.0,0.0
2017-07-07,-126.6,54.4,2017,7,Summer,601.0,0.0
2017-07-07,-124.5,53.4,2017,7,Summer,1123.675,1.5
2017-07-07,-124.4,53.4,2017,7,Summer,1000.0,0.5
2017-07-07,-123.5,49.5,2017,7,Summer,3.0,0.0
2017-07-07,-123.1,53.8,2017,7,Summer,715.0,0.0
2017-07-07,-123.1,54.7,2017,7,Summer,915.0,0.2
2017-07-07,-122.7,53.9,2017,7,Summer,588.0,0.009
2017-07-07,-122.7,54.5,2017,7,Summer,739.0,0.0
2017-07-07,-122.6,55.4,2017,7,Summer,1400.0,0.0
2017-07-07,-122.4,53.2,2017,7,Summer,855.0,0.0
2017-07-07,-121.8,53.3,2017,7,Summer,1355.0,0.5
2017-07-07,-121.7,52.5,2017,7,Summer,1081.0,0.0
2017-07-07,-120.5,50.5,2017,7,Summer,1300.0,0.0
2017-07-07,-120.2,51.4,2017,7,Summer,680.0,60.0
2017-07-07,-119.3,52.0,2017,7,Summer,2164.0,0.67
2017-07-07,-118.6,51.6,2017,7,Summer,650.0,0.005
2017-07-08,-121.6,49.2,2017,7,Summer,1400.0,0.0
2017-07-08,-120.3,50.3,2017,7,Summer,1311.0,0.0
2017-07-08,-116.1,50.5,2017,7,Summer,894.0,0.009
2017-07-09,-121.6,49.2,2017,7,Summer,1400.0,0.0
2017-07-09,-119.2,50.7,2017,7,Summer,527.0,0.009
2017-07-09,-117.2,49.6,2017,7,Summer,570.0,0.009
2017-07-10,-131.1,57.9,2017,7,Summer,290.0,0.009
2017-07-10,-118.1,49.7,2017,7,Summer,1432.0,0.01
2017-07-10,-117.8,50.7,2017,7,Summer,1570.0,0.009
2017-07-10,-117.6,49.0,2017,7,Summer,418.0,2.0
2017-07-10,-117.5,51.5,2017,7,Summer,780.0,0.04
2017-07-10,-117.5,51.7,2017,7,Summer,1000.0,0.009
2017-07-10,-117.2,49.6,2017,7,Summer,570.0,0.1
2017-07-10,-117.1,51.4,2017,7,Summer,861.0,0.009
2017-07-10,-117.0,50.2,2017,7,Summer,822.8,0.005
2017-07-10,-116.8,51.1,2017,7,Summer,1300.0,0.009
2017-07-11,-120.2,50.6,2017,7,Summer,640.0,0.0
2017-07-11,-119.3,50.2,2017,7,Summer,570.0,0.0
2017-07-12,-124.5,53.4,2017,7,Summer,1123.675,0.009
