Feature,F_Score,P_Value
tasmin,89.4950885559973,2.817876921596291e-20
air_temp,84.2478701818715,3.140460691155357e-19
max_air_temp_snc_last_reset,81.03656582568757,1.3836232868675811e-18
tasmax,73.94681279570737,3.730184355522726e-17
Year,69.67778128263737,2.749578285628866e-16
avg_wnd_spd_10m_pst10mts,60.121778090863174,2.5026474801123094e-14
pcpn_amt_pst1hr,58.41150503250687,5.6446435957400135e-14
air_temp_2,55.74424886651489,2.0144911000544194e-13
avg_wnd_dir_10m_pst10mts,49.61059954890382,3.824726036139841e-12
snw_dpth,40.85627478374479,2.676093634696967e-10
Rain,35.331906244561644,4.0294698256162956e-09
snwfl_amt_pst1hr,32.968776313094054,1.2959684553908916e-08
WSPD_SCLR,24.627563165976735,8.375522416661616e-07
TEMP_MEAN,24.526797103589516,8.812381600765033e-07
AirTemperature,22.168978819391217,2.90691957007763e-06
min_air_temp_snc_last_reset,22.12766553967907,2.968553017058701e-06
avg_rel_hum_pst1hr,21.928967539215623,3.283849336913388e-06
RelativeHumidity,15.620268326726412,8.373766476126241e-05
Wetness,15.495786516225262,8.933214576548278e-05
rnfl_amt_pst24hrs,13.88474273159558,0.00020699079178368578
Snow_WE,13.531631962935048,0.00024907079057978225
relative_humidity,13.207981082870843,0.00029520244925405225
RH,11.28134457183753,0.0008171175926714889
cum_pcpn_amt,10.696893319468908,0.001115595786993154
avg_air_temp_pst1hr,9.505024905665472,0.0021141130243265117
stn_pres,7.522620700313369,0.006218836381420944
Latitude,7.061459211750842,0.008021219085625116
rnfl_amt_pst1hr,6.434625925885509,0.01136643675202603
Longitude,6.046742400702181,0.014126820788734928
SolarRadiationWm,5.8801835074537125,0.015516075423471153
DayOfYear,5.877680513100405,0.015537995856691147
Month,5.605004849324653,0.018128419278972643
HUMIDITY,4.980687428626588,0.02588724664230183
rel_hum,4.865243279941518,0.02766521755582798
WDIR_VECT,4.260497568056593,0.03930619836469058
MAX_TEMP,4.219625662464034,0.04025900643816265
TempC,4.1219822531091905,0.042634981904229916
mslp,4.002049900269864,0.04575710684909811
PRECIP_TOTAL,3.460896170675877,0.06317544577960692
BAR_PRESS,3.175563843315525,0.07509812601411028
pcp,3.1568704647385033,0.07595938068934832
snw_dpth_wtr_equiv,3.10472472536527,0.07841860716849156
dwpt_temp,2.83557217792989,0.09255874253487954
WindSpeed,2.815161314679302,0.09373874663633276
RELATIVE_HUMIDITY1,2.7996550096350092,0.0946461595380714
dew_point,2.1386170946576755,0.14399453308803567
SolarRadiation,1.9588996352428687,0.1619895662954968
DewPtC,1.8889277098857216,0.1696788807047983
ATMOSPHERIC_PRESSURE,1.772983167504472,0.18336409975102497
Rainmm,1.6290504281447957,0.20217701088594772
CURRENT_AIR_TEMPERATURE1,1.6058668789727537,0.20541482360661406
total_precipitation,1.5554275225817817,0.21267354467355815
SnowDepth,1.5153675541002922,0.21865647303870983
pcpn_amt_pst24hrs,1.5053559421091494,0.2201829350647578
SNOW_ON_THE_GROUND,1.454644026670945,0.22811401809256562
air_temp_1,1.4145377750705528,0.23463092270817815
temperature,1.145929542924628,0.28470146439098404
wind_gust_speed,1.02937363258357,0.31058952926242156
MEASURED_WIND_DIRECTION1,0.9169365813501636,0.33854816632479945
wind_speed,0.8586767180329858,0.35436773439287295
max_wnd_spd_10m_pst1hr,0.7562713337395898,0.3847391694643919
WindSpeedms,0.7404316606225769,0.3897610711601931
SWE,0.6908723773023897,0.40609718501581826
AirTemp,0.6853145664447152,0.4079909895584426
WindDirection,0.6258355789369905,0.4291038323232187
air_temperature,0.610938810242396,0.43464843243646256
GustSpeedms,0.6018955853950836,0.43806774551420924
tendency_amount,0.5096322679103246,0.4754906636267473
air_temperature_yesterday_low,0.4654525816384992,0.49526931137528907
wind_direction,0.4224833267958559,0.5158730839652228
HEIGHT_OF_SNOW,0.4027514939572579,0.5258394912080359
MIN_TEMP,0.3445438828307999,0.5573712409900065
DEW_POINT,0.2915409574861753,0.5893737107143414
SnowWaterEquivalent,0.24399685830324802,0.6214595647899998
MEASURED_WIND_SPEED1,0.16150101026140556,0.6878775891897124
Elevation (m),0.1543103891521922,0.6945465490647181
mean_sea_level,0.13535415976742005,0.71303400572387
Precipitation,0.06465510745746023,0.7993445595287564
ONE_DAY_PRECIPITATION,0.029090584190317192,0.8646099359443647
precipitation,0.023273062875172883,0.8787847008384418
Pressurembar,0.013477243571655929,0.9076069463494436
ONE_DAY_RAIN,0.0024004256920982466,0.9609352765072264
WIND_DIRECTION_STD_DEVIATION1,0.0006720787163040287,0.9793235529652295
air_temperature_yesterday_high,0.00013612762908972063,0.9906936834982649
