Feature,Importance
rel_hum,0.08870011
SolarRadiation,0.05676038
Year,0.04244694
TEMP_MEAN,0.03937971
rnfl_amt_pst24hrs,0.016684517
dwpt_temp,0.016514378
RH,0.0158993
avg_air_temp_pst1hr,0.015641246
Longitude,0.015297338
pcpn_amt_pst24hrs,0.014592571
Rainmm,0.014086542
wind_speed,0.01393506
Pressurembar,0.013659342
CURRENT_AIR_TEMPERATURE1,0.0135427695
air_temperature_yesterday_low,0.013429141
WindSpeed,0.013249068
wind_direction,0.0132272495
DewPtC,0.013104115
SnowWaterEquivalent,0.01295076
ONE_DAY_PRECIPITATION,0.012637044
ATMOSPHERIC_PRESSURE,0.012613546
cum_pcpn_amt,0.012594991
tasmax,0.012440816
BAR_PRESS,0.0123994965
pcp,0.011682113
AirTemperature,0.011547404
HUMIDITY,0.011482642
WDIR_VECT,0.011038104
SnowDepth,0.01092967
MEASURED_WIND_DIRECTION1,0.01079081
MAX_TEMP,0.010505088
air_temperature_yesterday_high,0.010381689
WindDirection,0.010323902
avg_rel_hum_pst1hr,0.010150252
HEIGHT_OF_SNOW,0.010046203
air_temp,0.009994966
dew_point,0.00995607
Latitude,0.00991482
MIN_TEMP,0.009806305
SolarRadiationWm,0.009727822
snw_dpth_wtr_equiv,0.009613147
DEW_POINT,0.00957355
tasmin,0.009525266
SWE,0.009449552
WSPD_SCLR,0.009270346
Wetness,0.009260905
WindSpeedms,0.009257155
air_temperature,0.009148334
Precipitation,0.009040081
avg_wnd_dir_10m_pst10mts,0.008920113
TempC,0.008686412
Month,0.00867657
rnfl_amt_pst1hr,0.008647583
precipitation,0.008630974
temperature,0.008622087
WIND_DIRECTION_STD_DEVIATION1,0.008262935
min_air_temp_snc_last_reset,0.008258984
DayOfYear,0.008183721
PRECIP_TOTAL,0.007997402
Rain,0.007974727
air_temp_1,0.0078582615
pcpn_amt_pst1hr,0.007768654
tendency_amount,0.00774924
Elevation (m),0.007685677
mean_sea_level,0.007508922
MEASURED_WIND_SPEED1,0.0073687173
wind_gust_speed,0.0073108925
Snow_WE,0.0072648246
ONE_DAY_RAIN,0.0072579356
RelativeHumidity,0.0072453255
RELATIVE_HUMIDITY1,0.007217383
snwfl_amt_pst1hr,0.0070787487
avg_wnd_spd_10m_pst10mts,0.0069354973
relative_humidity,0.00693209
snw_dpth,0.0067531667
stn_pres,0.0066966033
GustSpeedms,0.006630544
total_precipitation,0.0062188082
max_air_temp_snc_last_reset,0.005603948
SNOW_ON_THE_GROUND,0.0054816995
mslp,0.0043313154
AirTemp,0.00403767
snow_amount,0.0
MAXIMUM_AIR_TEMPERATURE,0.0
MAXIMUM_MEASURED_WIND_SPEED1,0.0
MINIMUM_AIR_TEMPERATURE,0.0
CURRENT_AIR_TEMPERATURE2,0.0
STANDARD_SNOW,0.0
air_temp_2,0.0
max_wnd_spd_10m_pst1hr,0.0
PRECIPITATION_NEW,0.0
ACTUAL_WIND_SPEED,0.0
ACTUAL_WIND_DIRECTION,0.0
PRECIP_DETECTOR_RATIO,0.0
