Feature,Importance
rel_hum,0.0887001
SolarRadiation,0.056760374
Year,0.042446937
TEMP_MEAN,0.039379705
rnfl_amt_pst24hrs,0.016684515
dwpt_temp,0.016514378
RH,0.015899299
avg_air_temp_pst1hr,0.015641244
Longitude,0.015297337
pcpn_amt_pst24hrs,0.01459257
Rainmm,0.014086541
wind_speed,0.01393506
Pressurembar,0.013659341
CURRENT_AIR_TEMPERATURE1,0.013542769
air_temperature_yesterday_low,0.01342914
WindSpeed,0.013249067
wind_direction,0.013227249
DewPtC,0.013104114
SnowWaterEquivalent,0.01295076
ONE_DAY_PRECIPITATION,0.012637043
ATMOSPHERIC_PRESSURE,0.012613545
cum_pcpn_amt,0.01259499
tasmax,0.012440815
BAR_PRESS,0.012399496
pcp,0.011682112
AirTemperature,0.011547403
HUMIDITY,0.011482641
WDIR_VECT,0.011038103
SnowDepth,0.010929669
MEASURED_WIND_DIRECTION1,0.010790809
MAX_TEMP,0.010505088
air_temperature_yesterday_high,0.010381688
WindDirection,0.010323901
avg_rel_hum_pst1hr,0.010150251
HEIGHT_OF_SNOW,0.010046202
air_temp,0.009994966
dew_point,0.009956069
Latitude,0.00991482
MIN_TEMP,0.009806304
SolarRadiationWm,0.009727821
snw_dpth_wtr_equiv,0.009613146
DEW_POINT,0.009573549
tasmin,0.009525265
SWE,0.009449551
WSPD_SCLR,0.009270345
Wetness,0.009260904
WindSpeedms,0.009257155
air_temperature,0.009148333
Precipitation,0.00904008
avg_wnd_dir_10m_pst10mts,0.008920112
TempC,0.008686412
Month,0.008676569
rnfl_amt_pst1hr,0.0086475825
precipitation,0.008630973
temperature,0.008622086
WIND_DIRECTION_STD_DEVIATION1,0.008262934
min_air_temp_snc_last_reset,0.0082589835
DayOfYear,0.008183721
PRECIP_TOTAL,0.007997402
Rain,0.007974727
air_temp_1,0.0078582615
pcpn_amt_pst1hr,0.0077686533
tendency_amount,0.0077492394
Elevation (m),0.0076856767
mean_sea_level,0.0075089214
MEASURED_WIND_SPEED1,0.007368717
wind_gust_speed,0.007310892
Snow_WE,0.007264824
ONE_DAY_RAIN,0.007257935
RelativeHumidity,0.007245325
RELATIVE_HUMIDITY1,0.0072173825
snwfl_amt_pst1hr,0.007078748
avg_wnd_spd_10m_pst10mts,0.006935497
relative_humidity,0.0069320896
snw_dpth,0.006753166
stn_pres,0.006696603
GustSpeedms,0.0066305436
total_precipitation,0.006218808
max_air_temp_snc_last_reset,0.0056039477
SNOW_ON_THE_GROUND,0.005481699
mslp,0.0043313154
AirTemp,0.00403767
max_wnd_spd_10m_pst1hr,0.0
air_temp_2,0.0
